结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,备注,dyOrder
2024/7/29 9:58,'6932275763370005876,'6932275763370005876,283.22,聚合账户,已结算,否,2024/7/17 19:18,'3653768848580183172,1,小店自卖,普通订单,409,409,0,120,0,0,0,0,0,0,0,0,289,289,-5.78,0,0,0,0,0,0,,-5.78,,0,,''6932275763370005876
2024/7/29 9:56,'6932274074337678395,'6932274074337678395,244.02,聚合账户,已结算,否,2024/7/17 19:40,'3690835059750862959,1,小店自卖,普通订单,349,349,0,100,0,4,0,0,0,0,0,0,245,249,-4.98,0,0,0,0,0,0,,-4.98,,0,,''6932274074337678395
2024/7/29 9:50,'6932313191464899783,'6932313191464899783,244.02,聚合账户,已结算,否,2024/7/18 18:15,'3645602464511698399,1,小店自卖,普通订单,349,349,0,100,0,0,0,0,0,0,0,0,249,249,-4.98,0,0,0,0,0,0,,-4.98,,0,,''6932313191464899783
2024/7/29 9:49,'6932308277720585365,'6932308277720585365,185.22,聚合账户,已结算,否,2024/7/18 16:40,'3690835059750862959,1,小店自卖,普通订单,289,289,0,100,0,0,0,0,0,0,0,0,189,189,-3.78,0,0,0,0,0,0,,-3.78,,0,,''6932308277720585365
2024/7/29 9:48,'6932306952160745191,'6932306952160745191,234.22,聚合账户,已结算,否,2024/7/18 16:53,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932306952160745191
2024/7/29 9:46,'6932280462759827322,'6932280462759827322,400.82,聚合账户,已结算,否,2024/7/17 19:18,'3653768848580183172,1,小店自卖,普通订单,529,529,0,120,0,0,0,0,0,0,0,0,409,409,-8.18,0,0,0,0,0,0,,-8.18,,0,,''6932280462759827322
2024/7/29 9:46,'6932304672871814790,'6932304672871814790,195.02,聚合账户,已结算,否,2024/7/18 17:44,'3645602464511698399,1,小店自卖,普通订单,299,299,0,100,0,0,0,0,0,0,0,0,199,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932304672871814790
2024/7/29 11:05,'6932320234400519445,'6932320234400519445,234.22,聚合账户,已结算,否,2024/7/18 16:24,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932320234400519445
2024/7/29 11:00,'6932327349987185752,'6932327349987185752,146.02,聚合账户,已结算,否,2024/7/18 18:53,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,0,0,0,0,0,0,0,149,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6932327349987185752
2024/7/29 10:54,'6932308375221572830,'6932308375221572830,400.82,聚合账户,已结算,否,2024/7/18 16:57,'3653768848580183172,1,小店自卖,普通订单,529,529,0,120,0,10,0,0,0,0,0,0,399,409,-8.18,0,0,0,0,0,0,,-8.18,,0,,''6932308375221572830
2024/7/29 10:50,'6932320469157680344,'6932320469157680344,195.02,聚合账户,已结算,否,2024/7/18 17:39,'3645602464511698399,1,小店自卖,普通订单,299,299,0,100,0,0,0,0,0,0,0,0,199,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932320469157680344
2024/7/29 10:49,'6932298681410393458,'6932298681410393458,234.22,聚合账户,已结算,否,2024/7/17 19:46,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932298681410393458
2024/7/29 12:05,'6932271167336223981,'6932271167336223981,400.82,聚合账户,已结算,否,2024/7/17 19:48,'3653768848580183172,1,小店自卖,普通订单,529,529,0,120,0,0,0,0,0,0,0,0,409,409,-8.18,0,0,0,0,0,0,,-8.18,,0,,''6932271167336223981
