订单号,父单号,订单状态,下单时间,完成时间,商品ID,联盟商品ID,商品名称,商品店铺名称,商品数量,商品售后中数量,商品已退货数量,同跨店,付款金额,佣金比例,分成比例,预估计佣金额,预估佣金,实际计佣金额,实际佣金,结算信息,下单平台,plus订单,推广角色,是否京喜红包,是否拼购,是否复购,是否首购,是否预售,推广位ID,推广位名称,PID,第三方服务平台,网站ID,礼金批次,礼金分摊金额,是否联盟礼金,是否推客礼金,价保金额,团长渠道ID,渠道名称,subUnionId,channelId,是否为内容场订单
2.94675E+11,0,已完成,2024/7/5 12:22,2024/7/8 12:17,1.0107E+13,3nW3qMcM3Uw5jbWIBPz7PjHS_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,182.82,0.10%,90.00%,184,0.16,182.82,0.16,{"20240820":0.162},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98002E+11,0,已完成,2024/7/5 19:27,2024/7/8 11:44,1.00915E+13,VN26PIGxdqKBQdkwSmY5nVPb_3FGg4Cq3Od7bSLgpX0,VGN V98PRO V2 三模有线/蓝牙/无线 客制化键盘 机械键盘 电竞游戏 办公家用 全键热插拔  gasket结构 V98Pro-V2知秋轴 枫糖 限定款,VGN官方旗舰店,1,0,0,同店,373,0.10%,90.00%,379,0.34,373,0.33,{"20240820":0.333},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98007E+11,0,已完成,2024/7/5 22:53,2024/7/8 10:35,1.0107E+13,R0kllXBPHCS3NrqmVrF2K0Ub_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.97886E+11,0,已完成,2024/7/2 18:41,2024/7/8 10:27,1.00915E+13,NVJuN4Z2rfFrEgN5y7dhmsYZ_3ZXBSIbyArBf9lWBAp,VGN V98PRO V2 三模有线/蓝牙/无线 客制化键盘 机械键盘 电竞游戏 办公家用 全键热插拔  gasket结构 V98Pro-V2 水晶酒红轴 海盐,VGN官方旗舰店,1,0,0,同店,279,0.10%,90.00%,279,0.25,279,0.25,{"20240820":0.252},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98116E+11,0,已完成,2024/7/7 12:59,2024/7/8 10:23,1.00881E+13,57A7U45ShixNchmJjXDIElBp_3jk91rIxLhnAZdWrCt,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87 草莓布丁轴 果冻橙,VGN官方旗舰店,1,0,0,同店,199,0.10%,90.00%,199,0.18,199,0.18,{"20240820":0.180},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.94739E+11,0,已完成,2024/7/3 12:24,2024/7/8 10:01,1.00881E+13,0R8MFqXKF9T7xL3qVtoJXMFc_3UIh701p8FhCE5YeUF,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87 动力银轴 星空,VGN官方旗舰店,1,0,0,同店,147.88,0.10%,90.00%,149,0.14,147.88,0.14,{"20240820":0.135},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.97933E+11,0,已完成,2024/7/2 8:38,2024/7/8 9:47,1.0107E+13,3nW3qMcM3Uw5jY0lIPz7zxaa_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.97971E+11,0,已完成,2024/7/3 13:35,2024/7/8 8:59,1.00881E+13,0R8MFqXKF9T7xL3lOtoJXM1r_3UIh701p8FhCE5YeUF,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87 动力银轴 星空,VGN官方旗舰店,1,0,0,同店,148.98,0.10%,90.00%,149,0.14,148.98,0.14,{"20240820":0.135},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98024E+11,0,已完成,2024/7/6 11:58,2024/7/8 8:48,1.0107E+13,R0kllXBPHCS3N5snurF2PUII_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,176.5,0.10%,90.00%,189,0.17,176.5,0.16,{"20240820":0.162},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.97946E+11,0,已完成,2024/7/2 13:10,2024/7/8 7:58,1.0107E+13,3nW3qMcM3Uw5jYBrzPz7zg5i_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
